oid	text	category
717	здравствуйте я только сегодня могу оплатить процент?	oplatit_zaim
718	здравствуйте ,кольцо уже не выкупить ?	online_otsenka
762	сн183353 не могу оплатить	oplatit_zaim
763	здравствуйте сколько за грамм золота, 585? не лом	tsena_zolota
769	Спасибо А онлайн его можно будет оплатить?	oplatit_zaim
770	залог ещё можно выкупить или его уже нету !	vikup_do_min_ostatka
773	могу ли оплатить по этому залогу еще проценты nan	oplatit_zaim
782	здравствуйте , как продлить мне займ ?	oplatit_zaim
794	Добрый день. Могу ли я оплатить проценты по этому залогу?	oplatit_zaim
796	здравствуйте. прошла оплата процентов	oplatit_zaim
802	Здравствуйте. Как мне можно оплатить 50% через онлайн.	oplatit_zaim
810	Здравствуйте. Можно ли оплатить процент не весь а половину? ??	oplatit_zaim_chast
814	оператор ну	svyaz_operator
818	здравствуйте а можно оплатить часть процентов	oplatit_zaim
824	не могу оплатить по билету	oplatit_zaim
828	здравствуйте,не могу оплатить залоговый билет проценты СН227985	oplatit_zaim
830	почему не могу оплатить процент	oplatit_zaim
837	почему не могу оплатить проценты	oplatit_zaim
846	здравствуйте как я могу оплатить	oplatit_zaim
852	здравствуйте, могу ли я ещё выкупить свой займ? nan	vikup_do_min_ostatka
856	здравствуйте,а могу я ещё выкупить кольцо?	online_otsenka
862	Здравствуйте. Можно узнать до какого числа у меня залог	data_zaima
872	Здравствуйте, не могу оплатить %	oplatit_zaim
889	здравствуйте почему я не могу оплатить проценты	oplatit_zaim
896	Здравствуйте, как оплатить через сбп киви?	oplatit_zaim
902	Добрый день! до какого числа мой залог? Заём №СО025217	data_zaima
919	оператор здравствуйте	svyaz_operator
920	Могу я оплатить часть процентов	oplatit_zaim
921	Сколько стоит грамм золота	tsena_zolota
922	почему не могу оплатить проценты? ? ????	oplatit_zaim
929	рр043644 вот этот залоговый билет	nayti_bilet
955	А что с моим займом 357627 Почему я не могу оплатить проценты ? ???	oplatit_zaim
960	здравствуйте можно узнать могу ли я оплатить процент не 29.01 числа а поже	oplatit_zaim
968	почему я не могу оплатить проценты ?	oplatit_zaim
973	почему не могу оплатить? ?	oplatit_zaim
974	добрый день. а можно ли оплатить не только проценты но и часть займа?	oplatit_zaim
983	добрый день а я еще могу этот билет оплатить?	oplatit_zaim
989	Почему не возможна оплата процентов?	oplatit_zaim
990	добрый день этот займ уже продали?	online_otsenka
993	здравствуйте можно оплатить проценты прям сейчас здравствуйте могу я ещё оплатить проценты	oplatit_zaim
996	Здравствуйте Почему я не могу оплатить проценты онлайн?	oplatit_zaim
1018	добрый вечер . не могу оплатить проценты	oplatit_zaim
1027	как узнать до скольки работает ломбард	info
1029	Здравствуйте,а я могу ещё выкупить изделия? Заём №СО190551	vikup_do_min_ostatka
1031	Здравствуйте! Не могу оплатить проценты по билету со188130	oplatit_zaim
1036	Здравствуйте, как оплатить проценты? ЮГ720265	oplatit_zaim
1043	Можно продлить займ?	oplatit_zaim
1050	как оплатить весь займ онлайн?	oplatit_zaim
1063	Здравствуйте, почему оплата процентов не доступна?	oplatit_zaim
1068	сн200711 до какого числа могу оплатить проценты?	oplatit_zaim
1080	здравствуйте я не могу оплатить процент	oplatit_zaim
1082	до кого го числа мне оплатить	data_zaima
1085	Здравствуйте можно частично оплатить?	oplatit_zaim_chast
1098	Здравствуйте можно ли оплатить проценты по залогу Сн 194499	oplatit_zaim
1101	в каком ломбарде???	info
1104	я уже оплатила проценты	oplatit_zaim
1121	Здравствуйте А как узнать адреса?	info
1130	здравствуйте, не могу оплатить % за займ,почему?	oplatit_zaim
1152	здравствуйте, можно оплатить половину процентов?	oplatit_zaim_chast
1169	Как заплатить больше процент	oplatit_zaim
1171	Как оплатить половину процентов	oplatit_zaim_chast
1193	Здравствуйте скажите пожалуйста до какого числа я могу оплатить проценты?	oplatit_zaim
1195	здравствуйте могу ли я выкупить только одно изделие	vikup_do_min_ostatka
1207	кокой номера телефонов	svyaz_operator
1218	как узнать процент	oplatit_zaim
1228	почему процент большой	oplatit_zaim
1242	У меня в ломбарде еще 2 займа или только один?	info
1247	добрый вечер не могу оплатить процент	oplatit_zaim
1252	доброе утро, почему я не могу оплатить?	oplatit_zaim
1254	Связь с оператором	svyaz_operator
1260	здравствуйте а серебро принимаете ?	online_otsenka
1263	жду	svyaz_operator
1279	почему не доступна оплата процентов? ?	oplatit_zaim
1290	Здравствуйте. я хотела узнать могу ли я ещё выкупить залог?	vikup_do_min_ostatka
1299	сколько оценка грамма золота	tsena_zolota
1302	не могу оплатить проценты по залогу	oplatit_zaim
1305	Номер Телефона	svyaz_operator
1315	какие ещё способы оплаты есть	oplatit_zaim
1319	nan почему оплата % не доступна	oplatit_zaim
1360	Могу ли я выкупить изделие	vikup_do_min_ostatka
1366	Не могу оплатить займ онлайн	oplatit_zaim
1370	здравствуйте! nan я ещё могу продлить займ ?	oplatit_zaim
1381	оценка золота 1,002	tsena_zolota
1395	почему не могу оплатить частично проценты?	oplatit_zaim_chast
1396	товары	smotret_katalog
1397	Узнать проценты?	oplatit_zaim
1399	Добрый день. номер залогового билета ЧЧ 692672	nayti_bilet
1420	можно ли ещё оплатить проценты СН541256	oplatit_zaim
1421	здравствуйте почему не могу оплатить проценты?	oplatit_zaim
1426	Могу я оплатить только проценты?	oplatit_zaim
1458	здравствуйте не вижу одного билета	nayti_bilet
1460	какой процент у моего займа?	oplatit_zaim
1461	здравствуйте почему я не могу оплатить процент	oplatit_zaim
1465	ответите?	svyaz_operator
1468	до скольки сегодня вы работаете	info
1469	Здравствуйте. Почему оплата % не доступна мне?	oplatit_zaim
1477	здравствуйте! почему я не могу оплатить проценты онлайн?	oplatit_zaim
1481	здравствуйте, не могу оплатить проценты, почему?	oplatit_zaim
1491	Здравствуйте. Скажите пожалуйста могу ли я продлить срок займа?	oplatit_zaim
1505	здравствуйте до какого числа нужно оплатить	data_zaima
1509	здравствуйте, по какому адресу ломбард , где заём СО802517?	info
1514	Почему не доступна оплата?	oplatit_zaim
1515	здравствуйте могу ли я здесь оплатить процент	oplatit_zaim
1525	здравствуйте, если я оплачу проценты, залог будет продлен?	oplatit_zaim
1562	Почему тогда нельзя оплатить проценты по залоговому билету сн598395?	oplatit_zaim
1578	не могу оплатить процент по билету со243534	oplatit_zaim
1601	здравствуйте. можно ли оплатить часть процентов	oplatit_zaim
1605	Добрый день, как можно узнать дату до какого числа нужно оплатить процент? ?	oplatit_zaim
1615	здравствуйте, чо336868 хотела бы оплатить проценты	oplatit_zaim
1621	как оплатить сумму займа, а не только проценты?	oplatit_zaim
1623	цена за грамм 585	tsena_zolota
1628	что с моим залогом? почему не могу оплатить?	svyaz_operator
1629	а как оплатить сам займ	oplatit_zaim
1635	почему не могу оплатить процент скажите пожалуйста	oplatit_zaim
1655	могу ли я ещё заплатить процент ?	oplatit_zaim
1658	здравствуйте.не могу оплатить проценты по билету со 137088	oplatit_zaim
1672	здравствуйте почему не могу оплатить процент	oplatit_zaim
1677	здравствуйте хотел поинтересоваться могу ли я ещё кольцо выкупить?	vikup_do_min_ostatka
1700	СО328743 не могу оплатить проценты	oplatit_zaim
1716	здравствуйте скажите пожалуйста а можно проценты больше заплатить	oplatit_zaim
1724	почему я не могу оплатить проценты?	oplatit_zaim
1734	Добрый вечер, я не могу оплатить % РР304014	oplatit_zaim
1736	добрый вечер как частично оплатить процент?	oplatit_zaim_chast
1737	как узнать номер билета	nayti_bilet
1740	Здравствуйте Не могу оплатить проценты	oplatit_zaim
1741	не вижу свой залог	nayti_bilet
1747	здравствуйте работаете	info
1749	если я сегодня не оплачу проценты что будет?	oplatit_zaim
1752	Скажите пожалуйста ещё сколько сейчас стоит 585 за грамм	tsena_zolota
1754	не могу оплатить %	oplatit_zaim
1757	nan не могу оплатить проценты ?!	oplatit_zaim
1759	узнать номер билета	nayti_bilet
1759	Здравствуйте залоги мои до какого числа	data_zaima
1766	здравствуйте почему я сейчас не могу оплатить?	oplatit_zaim
1768	если не заплатить проценты, что будет?	oplatit_zaim
1778	когда это можно сделать?	svyaz_operator
1795	Здравствуйте Можно ли оплатить половину процентов	oplatit_zaim_chast
1800	когда нужно оплатить проценты?	oplatit_zaim
1802	здравствуйте можно продлить срок займа?	oplatit_zaim
1805	Здравствуйте Может кто то за меня оплатить проценты ?	oplatit_zaim
1808	здравствуйте , я не могу оплатить проценты онлайн	oplatit_zaim
1815	nan здравствуйте я оплатила	oplatit_zaim
1828	Добрый вечер, сколько стоит грамм золота	tsena_zolota
1841	Здравствуйте. Скажите пожалуйста почему не могу оплатить процент	oplatit_zaim
1858	хочу оплатить только процент	oplatit_zaim
1872	здравствуйте. когда будет возможна оплата процентов?	oplatit_zaim
1874	Выкупить Залог	vikup_do_min_ostatka
1880	ч0078075 не могу оплатить проценты почему?	oplatit_zaim
1906	Добрый вечер. До какого числа я могу оплатить займы?	data_zaima
1908	сколько стоит 1 грамм золота для залога	tsena_zolota
1943	когда можно выкупить?	vikup_do_min_ostatka
1952	Тест хотела оплатить проценты	oplatit_zaim
1964	здравствуйте у меня займ до 26.01 , можно будет продлить срок?	oplatit_zaim
1973	nan это я тоже оплатила 02.01.2023	oplatit_zaim
1975	могу ли я продлить срок займа?	oplatit_zaim
2009	здравствуйте, почему не могу оплатить ?онлайн	oplatit_zaim
2014	здравствуйте.как оплатить 50 % ???	oplatit_zaim
2022	до какого числа у меня залоги?	data_zaima
2031	оператор оператор	svyaz_operator
2038	можно ли оплатить проценты частями?	oplatit_zaim
2046	здравствуйте связь с оператором	svyaz_operator
2051	здравствуйте, как оплатить часть залога?	oplatit_zaim_chast
2060	Добрый день почему не доступна оплата процентов?	oplatit_zaim
2073	Добрый день как мне оплатить проценты	oplatit_zaim
2076	Добрый день! как мне оплатить проценты по данному залогу.?	oplatit_zaim
2095	здравствуйте до какого мне нужно оплатит %?	oplatit_zaim
2122	купить лом,цена за гр	smotret_katalog
2132	как продлить договор	oplatit_zaim
2138	Как мне оплатить На сайте	oplatit_zaim
2154	здравствуйте, как продлить срок займа	oplatit_zaim
2193	здравствуйте оператора можно	svyaz_operator
2204	как онлайн оплатить проценты?	oplatit_zaim
2208	почему оплата процентов не доступен	oplatit_zaim
2210	почему не могу оплатить?	oplatit_zaim
2212	график работы	info
2215	сегодня до скольки работаете	info
2217	График работы?	info
2226	Здравствуйте,как продлить срок займа?	oplatit_zaim
2235	как узнать номер билета?	nayti_bilet
2238	Здравствуйте . Какой процент ?	oplatit_zaim
2247	Здравствуйте, я могу ещё выкупить свое изделие?	vikup_do_min_ostatka
2250	Здравствуйте, я могу проценты завтра оплатить?	oplatit_zaim
2255	Добрый вечер, как узнать номер залогового билета?	nayti_bilet
2258	здравствуйте почему я не могу оплатить больше процента ?	oplatit_zaim
2264	здравствуйте! у меня было два залогового билета, я вижу на сайте тол ко один?	nayti_bilet
2268	здравствуйте, можно ли оплатить часть процентов	oplatit_zaim
2276	как узнать последний день оплаты ?	vikup_do_min_ostatka
2282	часы работы	rabota
2292	Добрый день!Могу ли я оплатить проценты только через 2 мес, а не через 1?	oplatit_zaim
2296	Могу ли я оплатить проценты по залоговому билету чч108369 11. 01.23.	oplatit_zaim
2298	Сколько стоит грамм золото сейчас?	tsena_zolota
2323	можно завтра оплатить проценты?	oplatit_zaim
2346	чо493815 оплата процентов	oplatit_zaim
2356	сколько стоит грамм золота 375 проба	tsena_zolota
2357	здравствуйте вы сегодня работаете	info
2364	Я могу оплатить сейчас?	oplatit_zaim
2369	спасибо здравствуйте как можно оплатить часть займа? ?	oplatit_zaim_chast
2374	оплата процентов	oplatit_zaim
2376	здравствуйте сегодня работают	info
2385	Здравствуйте,как оплатить частично?	oplatit_zaim_chast
2401	здравствуйте почему я не могу оплатить проценты?	oplatit_zaim
2410	Заём №СО601012 ионк ли я его выкупить Могу	vikup_do_min_ostatka
2414	как можно узнать номер залогового билета	nayti_bilet
2430	Здравствуйте! как я могу оплатить проценты частично?	oplatit_zaim_chast
2446	а как продлить?	oplatit_zaim
2454	Здравствуйте как оплатить займ?	oplatit_zaim
2457	как оплатить 50%	oplatit_zaim
2467	Здравствуйте, почему я не могу оплатить свой залог	svyaz_operator
2468	доброе утро! а вы сегодня работаете ?	info
2473	здравствуйте,где узнать какой процент по моим займам,	oplatit_zaim
2493	здравствуйте. работаю ли сегодня	info
2506	почему я не могу оплатить проценты и продлить залог	oplatit_zaim
2513	здравствуйте как оплатить проценты ?	oplatit_zaim
2530	спасибо Добрый день работаете ?	info
2544	Здравствуйте! Как продлить займ	oplatit_zaim
2549	не могу оплатить займ	oplatit_zaim
2551	добрый день сегодня работаете?	info
2558	оплата	oplatit_zaim
2565	то есть до 23:59 я могу оплатить??	oplatit_zaim
2567	То есть изделие еще можно выкупить?	vikup_do_min_ostatka
2570	Добрый день) вы принимаете серебро?	online_otsenka
2578	почему нельзя оплатить проценты	oplatit_zaim
2579	Здравствуйте. Как узнать до какого числа у меня залог?	data_zaima
2583	А когда будет доступна оплата?	oplatit_zaim
2587	номер горячей линии	info
2594	напишут или позвонят?	info
2595	почему не могу оплатить проценты онлайн?	oplatit_zaim
2615	здравствуйте, могу ли я ещё выкупить эти изделия	vikup_do_min_ostatka
2616	не могу оплатить онлайн	oplatit_zaim
2619	Добрый вечер а как узнать оплачен ли процент онлайн за залог?	oplatit_zaim
2635	№СН543607 Можно ли проценты заплатить, пожалуйста?	oplatit_zaim
2644	Здравствуйте, могу ли его выкупить?	vikup_do_min_ostatka
2659	почему на могу оплатить займ онлайн не могу	oplatit_zaim
2664	почему не могу оплатить займ?	oplatit_zaim
2667	СН251927 можно залоговый билет	nayti_bilet
2668	залоговый билет	nayti_bilet
2670	чо050931 он ещё в ломбарде?	info
2676	Ой спасибо большое через сайт тоже можно оплатить процент	oplatit_zaim
2681	Здравствуйте. Я могу ещё оплатить проценты? или уже нет.	oplatit_zaim
2684	оператора	svyaz_operator
2725	Как оплатить через сайт ?	oplatit_zaim
2727	Добрый вечер. Можно оплатить 28 по билету?	oplatit_zaim
2727	Почему не доступна оплата процентов?	oplatit_zaim
2738	здравствуйте, почему я не могу оплатить проценты онлайн?	oplatit_zaim
2744	Как связаться с оператором	svyaz_operator
2751	как оплатить часть займа?	oplatit_zaim_chast
2763	Как продлить срок займа?	oplatit_zaim
2783	здравствуйте , как забрать залог ?	vikup_do_min_ostatka
2786	Здравствуйте, не могу оплатить процент по залогу ?	oplatit_zaim
2792	не проходит оплата	svyaz_operator
2800	здравствуйте скажите пожалуйста до какого числа мои 3 залога?	data_zaima
2801	здравствуйте, почему не возможна оплата процентов ? ? nan	oplatit_zaim
2802	сн021558 написано , что оплата % пока не доступна	oplatit_zaim
2804	здравствуйте. можно ли продлить займ?	oplatit_zaim
2805	как я могу частично погасить	oplatit_zaim_chast
2819	Добрый день! Как оплатить процент?	oplatit_zaim
2822	Здравствуйте. У меня займ до 25.12 я завтра могу оплатить проценты?	oplatit_zaim
2826	Добрый день не могу оплатить проценты	oplatit_zaim
2837	если я не помню номер билета?	nayti_bilet
2845	если 100 руб то на них тоже есть проценты?	oplatit_zaim
2859	здравствуйте можно ли оплатить только проценты ?	oplatit_zaim
2864	здравствуйте не могу оплатить онлайн	oplatit_zaim
2876	а этот залог СО054756 я могу выкупить? ? ?	vikup_do_min_ostatka
2876	хорошо я могу оплатить онлайн процент за него? ?	oplatit_zaim
2915	можно ли оплатить проценты частично?	oplatit_zaim_chast
2917	можно ли оплатить проценты частично ?	oplatit_zaim_chast
2921	здравствуйте Можно ли продлить залог?	oplatit_zaim
2924	у меня в залоге 2 вещи, можно ли выкупить пока одну	vikup_do_min_ostatka
2944	Здравствуйте,когда будет доступна оплата процентов?	oplatit_zaim
2952	почему оплата % не доступна	oplatit_zaim
2974	как оплатить проценты по QR коду по сбп ?	oplatit_zaim
2982	здравствуйте, почему не могу оплатить проценты?	oplatit_zaim
2996	Здравствуйте еще можно оплатить проценты по залогу?	oplatit_zaim
3002	как оплатить часть процентов	oplatit_zaim
3005	почему не доступно оплата процента	oplatit_zaim
3014	как оплатить частично проценты	oplatit_zaim_chast
3018	здравствуйте скажите пожалуйста почему я не могу оплатить проценты через онлайн ?	oplatit_zaim
3030	как я могу выкупить это залог С0319309	vikup_do_min_ostatka
3056	Здравствуйте. Когда будет доступна оплата процентов на сайте?	oplatit_zaim
3056	РР581012 Я не могу оплатить проценты	oplatit_zaim
3070	оператор ?	svyaz_operator
3071	Добрый вечер,я еще могу оплатить %,или уже всё?	oplatit_zaim
3087	здравствуйте, а почему ничего не оплатить?	oplatit_zaim
3089	здравствуйте, я могу оплатить половину процентов?	oplatit_zaim_chast
3093	Здравствуйте, можно связь с оператором	svyaz_operator
3095	как оплатить проценты на сайте	oplatit_zaim
3103	могу ли я выкупить	vikup_do_min_ostatka
3119	спасибо можно узнать проценты по ЗБ со 117247 и со120456 на 04.01.2023 здравствуйте	oplatit_zaim
3129	добрый день! уже продали кольцо?	online_otsenka
3136	могу ли я выкупить только одну вещь?	vikup_do_min_ostatka
3138	Как оплатить проценты Ау	oplatit_zaim
3145	Добрый день! Серебро принимаете?	online_otsenka
3151	как узнать оплачены ли проценты или нет?	oplatit_zaim
3159	здравствуйте мне нужно оплатить проценты	oplatit_zaim
3169	можно мне ваш номер телефона	svyaz_operator
3179	здравствуйте какая оценка сейчас за грамм?	tsena_zolota
3188	Здравствуйте, как могу оплатить проценты частично	oplatit_zaim_chast
3192	цена за грамм для меня	tsena_zolota
3202	здравствуйте можно продлить	oplatit_zaim
3211	почему я не могу оплатить проценты	oplatit_zaim
3216	как оплатить только процент ?	oplatit_zaim
3218	как оплатить проценты онлайн	oplatit_zaim
3220	как оплатить проценты частично?	oplatit_zaim_chast
3239	почему нельзя оплатить процент? nan	oplatit_zaim
3242	позвоните еще раз	info
3243	? вы можете позвонить ?	info
3249	nan я ещё могу выкупить	vikup_do_min_ostatka
3256	Здравствуйте, как узнать номер залогового билета?	nayti_bilet
3259	здравствуйте почему я не могу оплатить % онлайн	oplatit_zaim
3262	как погасить частично займ	oplatit_zaim_chast
3264	как оплатить долг частично, а не только проценты	oplatit_zaim_chast
3273	Почему я не могу оплатить	oplatit_zaim
3284	здравствуйте. не могу оплатить проценты чч476929	oplatit_zaim
3297	Можно оплатить проценты по ФИО	oplatit_zaim
3300	Как оплатить процент?	oplatit_zaim
3311	его ещё можно продлить или уже всё	oplatit_zaim
3351	здравствуйте! до кого числа можно оплатить проценты ?	oplatit_zaim
3352	Спасибо здравствуйте. почему я не могу оплатить % по залоговому билету?	nayti_bilet
3359	оплатить проценты	oplatit_zaim
3361	здравствуйте можно узнать когда оплатили за этот займ ЧЧ019266	oplatit_zaim
3367	почему не могу оплатить ???	oplatit_zaim
3379	заплатить процент	oplatit_zaim
3409	оплатить 50%	oplatit_zaim
3426	Здравствуйте Как продлить мои залоги?	oplatit_zaim
3434	Здравствуйте. Скажите почему я не могу оплатить проценты по залоговому билету. ЧЧ 068337.	oplatit_zaim
3444	как оплатить проценты?	oplatit_zaim
3457	здравствуйте, я оплачу проценты завтра можно?	oplatit_zaim
3459	почему оплата процентов не доступна	oplatit_zaim
3474	цена за грамм	tsena_zolota
3476	добрый вечер можно узнать о наличии	smotret_katalog
3495	здравствуйте можно ли выкупить залог?	vikup_do_min_ostatka
3497	узнать проценты	oplatit_zaim
3499	Как оплатить процент по залогу	oplatit_zaim
3504	Здравствуйте Узнать номер залогового билета	nayti_bilet
3509	как оплатить проценты на сайте частично	oplatit_zaim_chast
3512	Здравствуйте, мне нужно оплатить процент	oplatit_zaim
3521	здравствуйте как можно оплатить проценты	oplatit_zaim
3537	добрый день не могу частично оплатить проценты .	oplatit_zaim_chast
3542	здравствуйте хотел выкупить свои изделия	vikup_do_min_ostatka
3545	здравствуйте, до какого числа у меня залог?	data_zaima
3552	могу ли я продлить договор	oplatit_zaim
3553	здравствуйте! Можно ли продлить займ?	oplatit_zaim
3559	добрый день, почему я не могу оплатить проценты ?	oplatit_zaim
3564	как оплатить займ	oplatit_zaim
3614	почему не доступна оплата процентов	oplatit_zaim
3615	Здравствуйте сколько сейчас стоит грамм	tsena_zolota
3616	когда ответят по оценке ?	svyaz_operator
3621	курс золота	tsena_zolota
3624	Можно ли выкупить этот билет?	vikup_do_min_ostatka
3628	nan здравствуйте я могу его выкупить?	vikup_do_min_ostatka
3637	добрый день можно узнать я ещё кольцо могу выкупить	online_otsenka
3657	можно ли оплатить частично	oplatit_zaim_chast
3672	залог со 148948 не могу оплатить проценты	oplatit_zaim
3677	Здравствуйте, могу ли я еще выкупить кольцо?	online_otsenka
3680	как оплатить займ до 100 р	oplatit_zaim
3681	Не могу оплатить Почему?	oplatit_zaim
3683	Здравствуйте как оплатить проценты онлайн?	oplatit_zaim
3687	здравствуйте почему я не могу оплатить проценты по фз со566166	oplatit_zaim
3723	здравствуйте, до какого числа я могу оплатить займ?	data_zaima
3725	как мне оплатить %	oplatit_zaim
3752	здравствуйте как позвонить	info
3756	здравствуйте,как частично погасить проценты?	oplatit_zaim_chast
3778	здравствуйте. почему на сайте оплата процентов пока не возможна?	oplatit_zaim
3778	здравствуйте могу ли я оплатить часть процентов ?	oplatit_zaim
3791	здравствуйте, могу ли я выкупить изделие?	vikup_do_min_ostatka
3802	здравствуйте я могу еще заплатить процент?	oplatit_zaim
3809	здравствуйте почему не могу оплатить проценты ? ???	oplatit_zaim
3819	вечер добрый. могу продлить займ?	oplatit_zaim
3823	нужен оператор	svyaz_operator
3831	здравствуйте,могу ли я онлайн оплатить залог свой? процент?	oplatit_zaim
3834	Как частично оплатить проценты	oplatit_zaim_chast
3841	могу ли я ещё выкупить своё изделие	vikup_do_min_ostatka
3841	344628 уже не выкупить?	vikup_do_min_ostatka
3860	хорошо жду	svyaz_operator
3866	как оплатить половину процентов?	oplatit_zaim_chast
3870	здравствуйте а до скольки вы работаете ???	info
3872	Здравствуйте серебро принимаете	online_otsenka
3878	добрый день до какого числа у меня залог ? СО300655	data_zaima
3888	сколько стоит один грамм золота	tsena_zolota
3894	почему я не могу оплатить займ?	oplatit_zaim
3904	здравствуйте нужен оператор	svyaz_operator
3906	здравствуйте а как узнать до какого можно выкупить?	vikup_do_min_ostatka
3910	как мне выкупить кольцо	online_otsenka
3912	могу оплатить до 06.01?	oplatit_zaim
3915	Здравствуйте можно ли оплатить процент онлайн	oplatit_zaim
